name,tr_n,tr_wr,tr_total,tr_tpd,tr_worst,te_n,te_wr,te_total,te_tpd,te_worst,ok
30min_tp2.0_sl1.2_f4_s0_h7-21,6,0.3333333333333333,-1.476804169085577,0.12244897959183673,-0.8,3,1.0,3.5503497641125823,0.12,0.0,False
30min_tp2.0_sl1.2_f4_s0_h12-21,5,0.4,-0.6768041690855772,0.10204081632653061,-0.8,3,1.0,3.5503497641125823,0.12,0.0,False
30min_tp2.0_sl1.2_f8_s0_h7-21,5,0.4,-0.8477266145380872,0.10204081632653061,-0.8,3,1.0,3.5503497641125823,0.12,0.0,False
30min_tp2.0_sl1.2_f8_s0_h12-21,4,0.5,-0.04772661453808713,0.08163265306122448,-0.8,3,1.0,3.5503497641125823,0.12,0.0,False
30min_tp1.5_sl1.2_f4_s0_h7-21,6,0.3333333333333333,-1.8101375024189104,0.12244897959183673,-0.8,3,1.0,3.0,0.12,0.0,False
30min_tp1.5_sl1.2_f4_s0_h12-21,5,0.4,-1.0101375024189103,0.10204081632653061,-0.8,3,1.0,3.0,0.12,0.0,False
30min_tp1.5_sl1.2_f8_s0_h7-21,5,0.4,-1.1810599478714203,0.10204081632653061,-0.8,3,1.0,3.0,0.12,0.0,False
30min_tp1.5_sl1.2_f8_s0_h12-21,4,0.5,-0.3810599478714204,0.08163265306122448,-0.8,3,1.0,3.0,0.12,0.0,False
30min_tp1.2_sl1.6_f4_s0_h7-21,6,0.3333333333333333,-1.5291685720019461,0.12244897959183673,-0.8,3,1.0,1.8000000000000003,0.12,0.0,False
30min_tp1.2_sl1.6_f4_s0_h12-21,5,0.4,-0.7291685720019462,0.10204081632653061,-0.8,3,1.0,1.8000000000000003,0.12,0.0,False
30min_tp1.2_sl1.6_f8_s0_h7-21,5,0.4,-1.0573604060913286,0.10204081632653061,-0.8,3,1.0,1.8000000000000003,0.12,0.0,False
30min_tp1.2_sl1.6_f8_s0_h12-21,4,0.5,-0.2573604060913287,0.08163265306122448,-0.8,3,1.0,1.8000000000000003,0.12,0.0,False
15min_tp2.0_sl1.2_f4_s1_h12-21,8,0.375,2.220446049250313e-16,0.16326530612244897,-0.8,6,0.5,1.7387622149834614,0.24,-0.8,False
15min_tp2.0_sl1.2_f8_s1_h12-21,7,0.42857142857142855,0.8000000000000003,0.14285714285714285,-0.8,6,0.5,1.7387622149834614,0.24,-0.8,False
30min_tp1.0_sl1.5_f4_s0_h7-21,6,0.3333333333333333,-1.8365953769713255,0.12244897959183673,-0.8,3,1.0,1.6,0.12,0.0,False
30min_tp1.0_sl1.5_f4_s0_h12-21,5,0.4,-1.0365953769713254,0.10204081632653061,-0.8,3,1.0,1.6,0.12,0.0,False
