name,trades,wr,total,mean_day,worst_day,tpd,pos_months,n_months
15min_tp1.0_sl2.0_A_m1,4,0.5,-0.8,-0.2,-0.8,1.0,0,2
30min_tp1.5_sl1.5_AB_m0,5,0.4,-0.8,-0.16,-0.8,1.0,0,3
15min_tp1.0_sl2.0_AB_m1,4,0.5,-0.8999999999999999,-0.22499999999999998,-1.0,1.0,0,2
30min_tp0.7_sl2.8_AB_m0,5,0.6,-1.0000000000000002,-0.20000000000000004,-0.8,1.0,1,3
15min_tp2.0_sl1.2_A_m1,4,0.25,-1.0666666666666667,-0.26666666666666666,-0.8,1.0,1,2
5min_tp1.5_sl1.5_B_m1,12,0.5,-1.1700540183599482,-0.14625675229499352,-1.0000000000000002,1.5,1,3
30min_tp1.2_sl1.6_AB_m0,5,0.4,-1.2000000000000002,-0.24000000000000005,-0.8,1.0,0,3
15min_tp0.7_sl2.8_A_m1,4,0.5,-1.2000000000000002,-0.30000000000000004,-0.8,1.0,0,2
15min_tp0.7_sl2.8_AB_m1,4,0.5,-1.35,-0.3375,-1.0,1.0,0,2
15min_tp1.5_sl1.5_AB_m0,19,0.42105263157894735,-1.4000000000000001,-0.0875,-1.3,1.1875,2,3
15min_tp2.0_sl1.2_AB_m1,4,0.25,-1.4666666666666661,-0.36666666666666653,-1.0,1.0,1,2
15min_tp1.2_sl1.6_AB_m0,19,0.47368421052631576,-1.5124999999999997,-0.09453125000000007,-1.3,1.1875,2,3
15min_tp1.2_sl1.6_B_m1,2,0.0,-1.6,-0.8,-0.8,1.0,0,1
15min_tp1.5_sl1.5_B_m1,2,0.0,-1.6,-0.8,-0.8,1.0,0,1
30min_tp1.5_sl1.5_B_m0,2,0.0,-1.6,-0.8,-0.8,1.0,0,2
30min_tp1.2_sl1.6_B_m0,2,0.0,-1.6,-0.8,-0.8,1.0,0,2
30min_tp2.0_sl1.2_B_m0,2,0.0,-1.6,-0.8,-0.8,1.0,0,2
15min_tp2.0_sl1.2_B_m1,2,0.0,-1.6,-0.8,-0.8,1.0,0,1
