trig,re,eu,tp,slm,tr_n,tr_wr,tr_total,tr_tpd,tr_worst,te_n,te_wr,te_total,te_tpd,te_worst,both_pos
15min,8,12,1.0,mid,79,0.45569620253164556,5.708070179290591,0.7596153846153846,-1.0,35,0.5142857142857142,9.16285714610534,0.7142857142857143,-1.0,True
15min,8,12,1.0,far,79,0.5189873417721519,-0.32093533481369096,0.7596153846153846,-1.0,35,0.6571428571428571,7.2087728584576585,0.7142857142857143,-1.0,False
15min,8,12,1.25,mid,79,0.4430379746835443,9.903149723553035,0.7596153846153846,-1.0,35,0.4857142857142857,11.004926902264923,0.7142857142857143,-1.0,True
15min,8,12,1.25,far,79,0.5063291139240507,3.0166766267841325,0.7596153846153846,-1.0,35,0.6285714285714286,8.372907855612498,0.7142857142857143,-1.0,True
15min,8,12,1.5,mid,79,0.43037974683544306,9.833821636694536,0.7596153846153846,-1.0,35,0.45714285714285713,11.748905819106247,0.7142857142857143,-1.0,True
15min,8,12,1.5,far,79,0.4936708860759494,2.8622957351218643,0.7596153846153846,-1.0,35,0.6,7.950535568317885,0.7142857142857143,-1.0,True
15min,8,12,2.0,mid,79,0.4177215189873418,6.079544975904486,0.7596153846153846,-1.0,35,0.42857142857142855,9.38571927150396,0.7142857142857143,-1.0,True
15min,8,12,2.0,far,79,0.46835443037974683,-0.03744660442109815,0.7596153846153846,-1.0,35,0.5714285714285714,6.639831954468399,0.7142857142857143,-1.0,False
15min,8,14,1.0,mid,95,0.47368421052631576,11.42663328652084,0.9134615384615384,-1.0,41,0.5121951219512195,7.692479063564378,0.8367346938775511,-1.0,True
15min,8,14,1.0,far,95,0.5263157894736842,0.34946451007296386,0.9134615384615384,-1.0,41,0.6585365853658537,6.315915468715212,0.8367346938775511,-1.0,True
15min,8,14,1.25,mid,95,0.4631578947368421,15.714539263740832,0.9134615384615384,-1.0,41,0.4634146341463415,8.251888487182342,0.8367346938775511,-1.0,True
15min,8,14,1.25,far,95,0.5157894736842106,3.707401523645661,0.9134615384615384,-1.0,41,0.6097560975609756,6.654362392475486,0.8367346938775511,-1.0,True
15min,8,14,1.5,mid,95,0.45263157894736844,15.228892221270982,0.9134615384615384,-1.0,41,0.43902439024390244,8.995867404023667,0.8367346938775511,-1.0,True
15min,8,14,1.5,far,95,0.5052631578947369,3.53126035668984,0.9134615384615384,-1.0,41,0.5853658536585366,6.231990105180871,0.8367346938775511,-1.0,True
